grp,z,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
e 580-640 e 580-640 a Passed 1st time,0,4.125,3,2,4,6,27,7,94,1,2,-56,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.375,6,4,7,6,31,2,94,1,3,-62,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,4.5,10,9,10,6,25,7,94,1,4,-57,0,0,1
e 580-640 e 580-640 c Failed,0,4.75,4,3,5,6,24,2,95,1,3,-63,0,0,1
e 580-640 e 580-640 b Passed 2nd time,0,3.375,5,6,6,6,31,2,95,1,5,-63,0,0,1
e 580-640 e 580-640 b Passed 2nd time,0,3.125,5,4,6,6,31,7,95,1,1,-58,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,2.875,8,9,8,6,33,7,94,1,4,-58,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,3.125,10,8,10,6,34,7,94,1,3,-58,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,3,9,9,9,6,32.5,7,94,1,3,-59,0,1,1
e 580-640 e 580-640 b Passed 2nd time,0,3.5,10,10,10,6,31,7,95,1,3,-59,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.375,9,7,9,6,30,7,94,1,5,-59,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,2.75,3,4,4,6,35,2,95,1,4,-64,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,4.25,8,9,8,6,29,7,94,1,3,-59,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,3.625,9,10,10,6,32,7,94,1,3,-59,0,1,1
e 580-640 e 580-640 c Failed,0,3.125,3,6,3,6,33,7,94,1,3,-59,0,0,1
e 580-640 e 580-640 c Failed,0,3.5,5,6,6,6,30,7,94,1,2,-60,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.25,7,7,8,6,33,7,94,1,4,-60,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,2.75,6,7,7,6,36,7,94,1,4,-60,0,1,1
e 580-640 e 580-640 c Failed,0,3.125,5,7,6,6,33,7,94,1,4,-60,0,1,1
e 580-640 e 580-640 c Failed,0,4.625,2,3,3,6,25,7,94,1,4,-61,0,1,1
e 580-640 e 580-640 b Passed 2nd time,0,4.125,9,8,9,6,28,7,95,1,2,-61,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,3.75,8,9,8,6,30.5,2,94,1,3,-66,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.75,7,4,7,6,28,7,94,1,4,-61,0,0,1
e 580-640 e 580-640 c Failed,0,4.375,7,5,7,6,28,7,94,1,2,-62,0,0,1
e 580-640 e 580-640 c Failed,0,3.5,2,3,3,6,30,7,94,1,4,-62,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,3.75,7,6,8,6,31,7,94,1,3,-62,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,3.25,3,2,4,6,32,7,94,1,3,-62,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.25,4,3,5,6,33,7,94,1,4,-62,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,4,6,7,6,6,32,7,94,1,2,-31,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,2.5,6,7,6,6,41,7,94,1,3,-38,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,4.125,7,5,7,6,33,7,95,2,5,-41,1,0,1
f 640-700 f 640-700 a Passed 1st time,0,3,5,7,6,6,36,7,94,1,4,-43,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,3.875,6,7,7,6,32,2,95,1,2,-52,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,4.5,7,8,8,6,28,2,94,1,3,-55,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,3.125,5,8,6,6,37,7,94,1,3,-52,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,3.75,8,7,8,6,33,7,94,1,3,-53,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,3.125,7,6,7,6,35,7,94,1,4,-53,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,3.375,1,3,2,6,36.7,7,94,1,3,-54,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,4.625,9,8,10,6,29,7,94,1,5,-54,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,3.25,10,10,10,6,35,2,94,1,3,-60,0,1,1
f 640-700 f 640-700 c Failed,0,3.75,2,2,3,6,33,7,94,1,4,-55,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,4,9,8,9,6,31.5,7,94,1,3,-55,0,0,1
f 640-700 f 640-700 c Failed,0,3.5,1,3,2,6,35,7,94,1,5,-55,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,2.125,7,6,7,6,40,7,94,1,4,-56,0,1,1
f 640-700 f 640-700 b Passed 2nd time,0,3.75,5,9,6,6,35,7,95,1,4,-56,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,4.875,7,9,8,6,28,7,95,1,2,-56,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,3.625,8,8,8,6,35.5,7,94,1,4,-56,0,0,1
f 640-700 f 640-700 c Failed,0,3.5,3,4,4,6,35,7,94,1,2,-56,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,3.875,10,9,10,6,33,7,94,1,4,-57,0,1,1
f 640-700 f 640-700 c Failed,0,3.5,7,7,7,6,33,2,96,1,5,-63,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,3.375,2,5,3,6,37,7,94,1,2,-58,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,2.375,6,4,7,6,39,7,94,1,3,-58,0,0,1
f 640-700 f 640-700 c Failed,0,4.875,8,4,8,6,29,7,95,2,3,-58,1,0,1
f 640-700 f 640-700 a Passed 1st time,0,3.375,5,6,6,6,36,7,94,1,4,-59,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,3.5,8,8,8,6,35,7,94,1,4,-59,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,4,8,8,8,6,31,7,94,1,4,-59,0,1,1
f 640-700 f 640-700 c Failed,0,3.875,1,2,2,6,34,7,94,1,3,-60,0,1,1
f 640-700 f 640-700 b Passed 2nd time,0,4.375,4,2,5,6,29,7,95,1,3,-60,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,4.125,4,5,5,6,31,7,94,1,3,-60,0,0,1
f 640-700 f 640-700 c Failed,0,3.625,1,1,1,6,34,7,94,1,4,-60,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,3.625,2,5,3,6,32.5,7,94,1,2,-60,0,1,1
f 640-700 f 640-700 a Passed 1st time,0,3.375,10,10,10,6,34,7,94,1,2,-61,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,3.875,7,9,7,6,34,7,94,1,4,-61,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,4.25,6,7,6,6,32,7,94,1,2,-61,0,0,1
f 640-700 f 640-700 b Passed 2nd time,0,4,3,2,4,6,33,7,95,1,3,-62,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,4,9,9,9,6,33,7,94,1,4,-62,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,3.75,7,9,8,6,32,7,94,1,3,-62,0,0,1
f 640-700 f 640-700 c Failed,0,4.5,3,4,4,6,29,7,94,1,4,-62,0,0,1
f 640-700 f 640-700 c Failed,0,4.875,3,3,4,6,29,7,94,1,4,-62,0,0,1
f 640-700 f 640-700 a Passed 1st time,0,4.5,8,8,8,6,31.5,7,94,1,2,-62,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4,4,7,5,6,36,7,94,1,2,-25,0,1,1
g 700+ g 700-760 c Failed,0,3.625,2,2,2,6,38,7,94,1,3,-34,0,0,1
g 700+ h 760-820 a Passed 1st time,0,4.875,10,10,10,6,37,7,94,1,2,-35,0,0,1
g 700+ i 820+ a Passed 1st time,0,4.25,10,9,10,6,42,7,94,1,4,-36,0,1,1
g 700+ g 700-760 a Passed 1st time,0,3,9,9,9,6,41,7,94,1,1,-40,0,1,1
g 700+ g 700-760 a Passed 1st time,0,3.5,6,8,6,6,39,7,94,1,2,-40,0,1,1
g 700+ i 820+ a Passed 1st time,0,4.625,10,10,10,6,40,7,95,2,4,-41,1,1,1
g 700+ h 760-820 a Passed 1st time,0,3.25,9,8,9,6,45,7,94,1,4,-41,0,1,1
g 700+ g 700-760 a Passed 1st time,0,3.75,8,9,8,6,36,7,95,2,3,-41,1,0,1
g 700+ h 760-820 c Failed,0,4.25,1,3,1,6,39,7,94,1,2,-42,0,1,1
g 700+ g 700-760 a Passed 1st time,0,3.5,8,9,8,6,38,7,94,1,4,-42,0,1,1
g 700+ h 760-820 a Passed 1st time,0,4.125,2,6,3,6,38,7,94,1,3,-43,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4.625,10,10,10,6,33,2,96,2,4,-48,1,0,1
g 700+ g 700-760 a Passed 1st time,0,3.25,10,10,10,6,39.5,7,95,2,3,-45,1,1,1
g 700+ h 760-820 a Passed 1st time,0,4.75,9,9,10,6,37,7,94,1,4,-45,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4.5,8,9,9,6,34,7,94,1,4,-45,0,0,1
g 700+ g 700-760 a Passed 1st time,0,3.625,6,5,6,6,37,7,95,1,5,-47,0,1,1
g 700+ g 700-760 a Passed 1st time,0,3.375,5,6,6,6,41,7,94,1,3,-47,0,1,1
g 700+ h 760-820 a Passed 1st time,0,4.875,10,10,10,6,34,7,94,1,4,-48,0,0,1
g 700+ g 700-760 a Passed 1st time,0,3.75,9,8,9,6,37,7,95,2,4,-48,1,1,1
g 700+ h 760-820 a Passed 1st time,0,4.125,7,7,8,6,39,7,94,1,3,-49,0,0,1
g 700+ i 820+ a Passed 1st time,0,4.625,6,6,6,6,40,7,95,2,3,-49,1,1,1
g 700+ g 700-760 c Failed,0,4.125,4,6,5,6,36,7,95,1,4,-50,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4.125,8,8,9,6,37,7,94,1,2,-50,0,0,1
g 700+ h 760-820 a Passed 1st time,0,3.25,7,5,7,6,42,7,95,2,4,-50,1,1,1
g 700+ g 700-760 a Passed 1st time,0,4,3,6,4,6,37,7,94,1,2,-50,0,0,1
g 700+ i 820+ a Passed 1st time,0,4.625,8,9,8,6,40,7,94,1,4,-51,0,0,1
g 700+ g 700-760 b Passed 2nd time,0,3.375,3,5,4,6,38,2,96,1,4,-56,0,1,1
g 700+ i 820+ a Passed 1st time,0,4.5,9,8,9,6,41,7,94,1,4,-52,0,0,1
g 700+ h 760-820 a Passed 1st time,0,3.625,7,8,7,6,42,2,96,1,2,-59,0,0,1
g 700+ h 760-820 a Passed 1st time,0,4.5,10,10,10,6,39,7,94,1,3,-54,0,0,1
g 700+ h 760-820 a Passed 1st time,0,3.875,8,7,8,6,39,7,94,1,2,-54,0,0,1
g 700+ h 760-820 a Passed 1st time,0,4.375,9,9,10,6,38,7,94,1,4,-54,0,1,1
g 700+ g 700-760 a Passed 1st time,0,4.75,10,10,10,6,34,7,94,1,3,-54,0,0,1
g 700+ i 820+ a Passed 1st time,0,3.875,10,10,10,6,45,7,95,2,5,-55,1,1,1
g 700+ g 700-760 a Passed 1st time,0,3.75,10,10,10,6,39,7,94,1,3,-55,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4.25,5,7,6,6,34,7,94,1,3,-55,0,1,1
g 700+ h 760-820 a Passed 1st time,0,3.875,3,7,4,6,42,7,94,1,2,-55,0,0,1
g 700+ i 820+ a Passed 1st time,0,4.5,6,10,6,6,40,7,94,1,2,-55,0,1,1
g 700+ h 760-820 a Passed 1st time,0,4.625,9,9,9,6,35,7,94,1,3,-56,0,1,1
g 700+ i 820+ a Passed 1st time,0,4.75,10,10,10,6,38,7,94,1,3,-56,0,0,1
g 700+ i 820+ a Passed 1st time,0,4.625,10,10,10,6,40,7,94,1,4,-56,0,0,1
g 700+ h 760-820 a Passed 1st time,0,3.5,9,10,10,6,43,7,94,1,4,-56,0,0,1
g 700+ g 700-760 a Passed 1st time,0,3.75,8,9,8,6,37,7,94,1,4,-56,0,1,1
g 700+ g 700-760 a Passed 1st time,0,4.125,7,6,8,6,36,2,95,1,2,-62,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4.125,10,10,10,6,37,2,95,1,3,-62,0,0,1
g 700+ h 760-820 a Passed 1st time,0,3.75,9,9,9,6,40,7,94,1,3,-58,0,0,1
g 700+ h 760-820 a Passed 1st time,0,4.25,10,10,10,6,40,7,94,1,4,-58,0,0,1
g 700+ h 760-820 a Passed 1st time,0,4.375,1,3,2,6,36,2,96,1,2,-63,0,1,1
g 700+ g 700-760 a Passed 1st time,0,3.5,4,6,4,6,39,7,94,1,2,-58,0,1,1
g 700+ i 820+ a Passed 1st time,0,4.375,9,10,9,6,40,7,94,1,4,-59,0,1,1
g 700+ g 700-760 a Passed 1st time,0,3.125,10,8,10,6,39,7,94,1,4,-59,0,1,1
g 700+ g 700-760 a Passed 1st time,0,4.25,2,3,3,6,35,7,94,1,2,-59,0,0,1
g 700+ i 820+ a Passed 1st time,0,4.125,4,3,5,6,42,7,94,1,3,-59,0,0,1
g 700+ h 760-820 a Passed 1st time,0,3.875,1,2,1,6,42,7,94,1,3,-59,0,1,1
g 700+ h 760-820 a Passed 1st time,0,3,8,4,9,6,44,2,94,1,2,-64,0,1,1
g 700+ h 760-820 a Passed 1st time,0,4.125,6,6,7,6,41,7,94,1,4,-60,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4.25,4,6,4,6,35,7,94,1,4,-60,0,0,1
g 700+ i 820+ a Passed 1st time,0,4.625,10,10,10,6,40,7,94,1,4,-61,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4.125,8,8,8,6,35,7,94,1,4,-61,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4,6,7,7,6,37,7,94,1,4,-61,0,0,1
g 700+ g 700-760 b Passed 2nd time,0,4.5,7,6,7,6,32,7,95,1,4,-61,0,0,1
g 700+ g 700-760 a Passed 1st time,0,3.75,5,7,5,6,37,7,95,1,4,-61,0,1,1
g 700+ h 760-820 a Passed 1st time,0,4.375,7,10,8,6,39,7,94,1,3,-61,0,1,1
g 700+ g 700-760 a Passed 1st time,0,3.625,2,2,2,6,36,7,94,1,4,-61,0,0,1
g 700+ i 820+ a Passed 1st time,0,4.5,6,9,6,6,40,7,94,1,3,-61,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4.5,5,5,6,6,33,7,94,1,4,-61,0,0,1
g 700+ h 760-820 a Passed 1st time,0,4.5,8,8,9,6,35.5,7,94,1,4,-61,0,1,1
g 700+ g 700-760 a Passed 1st time,0,3.875,5,3,6,6,35,7,94,1,3,-61,0,0,1
g 700+ g 700-760 a Passed 1st time,0,4.25,7,8,8,6,34,7,94,1,2,-62,0,1,1
g 700+ g 700-760 a Passed 1st time,0,4.625,4,4,5,6,32,7,94,1,2,-62,0,0,1
g 700+ g 700-760 a Passed 1st time,0,3.875,5,4,5,6,38,7,94,1,3,-62,0,0,1
g 700+ i 820+ a Passed 1st time,0,5,9,9,10,6,42,7,94,1,3,-62,0,0,1
g 700+ h 760-820 a Passed 1st time,0,4.25,9,9,9,6,38,7,94,1,4,-62,0,0,1
a under 400 a under 400 c Failed,0,2.75,2,1,2,2,19,7,94,1,3,-50,0,1,2
b 400-460 b 400-460 a Passed 1st time,0,3.25,10,10,10,2,22,7,95,2,2,-39,1,0,2
